participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Temporal-Orthographic-Decay, 2368.6338, 1.0883, 0, 1.5503, 0, 0.88928, 0, 0.11464, 0, 0.8065, 1.3991, 0.017923, 0.03502, 0.067977, 0.55053, 0.72949, 0.40851, 0, 0, 0, 0, 0.58951, 0.75447, 7.4337, NaN, 0.20221, NaN, 0, NaN, 0.00082781, 8.5339, 0, NaN, 0.3321, 0
2, Temporal-Orthographic-Decay, 5036.3543, 3.1688, 0, 2.5727, 0, 1.297, 0, 0.83004, 0, 4.2061, 1.6162, 0.16351, 0.074846, 0.39519, 0.29769, 0.15094, 0.15159, 0, 0, 0, 0, 0.68569, 0.66048, 1.7709, NaN, 1.6339, NaN, 0, NaN, 13.2274, 5.481, 0, NaN, 0.0010966, 0
3, Temporal-Orthographic-Decay, 2660.6564, 3.2513, 0, 3.9204, 0, 1.5051, 0, 0.6164, 0, 1.6108, 0.78096, 0.42592, 0.42096, 0.1862, 0.294, 0.11697, 0.25244, 0, 0, 0, 0, 0.63289, 0.49872, 2.8559, NaN, 1.7047, NaN, 0, NaN, 14.9946, 2.8918e-05, 0, NaN, 0.25997, 0
4, Temporal-Orthographic-Decay, 4391.6975, 2.8446, 0, 2.0696, 0, 1.5402, 0, 0.7634, 0, 4.2622, 1.2422, 0.061067, 0.068253, 0.72578, 0.67433, 0.39035, 0.41753, 0, 0, 0, 0, 0.61192, 0.76816, 2.5682, NaN, 0.31943, NaN, 0, NaN, 12.7177, 15.0003, 0, NaN, 2.496e-07, 0
5, Temporal-Orthographic-Decay, 6177.1514, 2.9801, 0, 2.0698, 0, 1.5069, 0, 0.99974, 0, 4.3717, 0.48323, 0.01051, 0.10839, 0.2098, 0.18125, 0.37373, 4.1156e-06, 0, 0, 0, 0, 0.71021, 0.79939, 3.5042, NaN, 0.78381, NaN, 0, NaN, 7.8225, 15.0116, 0, NaN, 0.051352, 0
6, Temporal-Orthographic-Decay, 2300.6458, 3.1689, 0, 2.3994, 0, 1.4803, 0, 0.77558, 0, 3.1188, 0.83387, 0.033027, 0.043996, 0.24395, 0.34768, 0.66222, 0.40768, 0, 0, 0, 0, 0.76906, 0.4952, 3.0184, NaN, 2.2549, NaN, 0, NaN, 9.0287, 12.6558, 0, NaN, 1.4667e-06, 0
7, Temporal-Orthographic-Decay, 4084.2316, 1.413, 0, 3.5825, 0, 1.4374, 0, 0.4865, 0, 2.1618, 1.1911, 0.11391, 0.17396, 0.031205, 0.23344, 0.79955, 0.17137, 0, 0, 0, 0, 0.49816, 0.58354, 2.753, NaN, 5.2625, NaN, 0, NaN, 1.5569, 11.7001, 0, NaN, 0.19117, 0
8, Temporal-Orthographic-Decay, 1050.4811, 5.9623, 0, 1.6508, 0, 1.4842, 0, 0.99995, 0, 1.1869, 0.54321, 0.58736, 0.5992, 0.11914, 0.10667, 0.055771, 0.30166, 0, 0, 0, 0, 0.67669, 0.49629, 1.462, NaN, 2.6945, NaN, 0, NaN, 9.0808, 0.00091048, 0, NaN, 0.27659, 0
9, Temporal-Orthographic-Decay, 2684.3298, 4.2373, 0, 4.175, 0, 0.001981, 0, 0.2923, 0, 1.8047, 1.0255, 0.58509, 0.69279, 0.34706, 0.21778, 0.1232, 1.7049e-05, 0, 0, 0, 0, 0.71716, 0.53538, 1.5217, NaN, 0.52843, NaN, 0, NaN, 1.4562, 4.7312, 0, NaN, 0.26313, 0
10, Temporal-Orthographic-Decay, 2338.4168, 3.3571, 0, 1.0473, 0, 1.5049, 0, 0.93306, 0, 1.7683, 0.9632, 0.54041, 0.6602, 0.076383, 0.20294, 0.49424, 0.71098, 0, 0, 0, 0, 0.52032, 0.60583, 2.5667, NaN, 0.19867, NaN, 0, NaN, 15.0005, 15.0004, 0, NaN, 0.25055, 0
