,spatiotemporal,sto,sto_gamma,sto_weight,sto_criterion,,,,spatiotemporal,sto,sto_gamma,ff
1,2325.25198,2334.857139,2326.373802,2289.2276,2332.849624,2335.771013,,,2325.25198,2334.857139,2326.373802,2335.771013
2,5410.748085,5380.311325,5607.530284,5041.7481,5121.68652,5387.22368,,,5410.748085,5380.311325,5607.530284,5387.22368
3,2673.910836,2657.452722,2648.042647,2660.9114,2656.990517,2672.120156,,,2673.910836,2657.452722,2648.042647,2672.120156
4,4831.34929,4759.658086,5575.389631,4403.208,4591.45576,5037.820939,,,4831.34929,4759.658086,5575.389631,5037.820939
5,6274.684385,5940.455863,6069.374375,5780.1783,6166.625929,6728.772842,,,6274.684385,5940.455863,6069.374375,6728.772842
6,2490.644994,2403.56985,2937.235991,2271.3743,2320.993377,2303.238551,,,2490.644994,2403.56985,2937.235991,2303.238551
7,4167.194624,4158.031745,4093.729441,4055.2479,4165.746477,4172.031011,,,4167.194624,4158.031745,4093.729441,4172.031011
8,1030.762489,1037.858115,1031.11513,1029.3824,1032.834973,1031.642148,,,1030.762489,1037.858115,1031.11513,1031.642148
9,2688.143532,2704.341649,2706.466516,2646.2635,2704.185421,2647.204143,,,2688.143532,2704.341649,2706.466516,2647.204143
10,2323.341696,2295.898793,2306.649239,2292.6368,2442.507077,2325.542387,,,2323.341696,2295.898793,2306.649239,2325.542387
11,34216.03191,33672.43529,35301.90706,32470.1783,33535.87568,,,,34216.03191,33672.43529,35301.90706,34641.36687
12,1.50455E-08,1.23501E-10,8.58627E-09,0.999999976,3.37E-10,,,,,,,
13,7.45884E-81,3.0334E-74,1.3866E-123,1,4.38E-18,,,,,,,
14,2.36221E-06,0.008854252,0.978416372,0.001570759,0.011156255,,,,"1,9 worse","6, 8, 9 better",6 better,
15,1.07226E-93,3.96139E-78,2.9107E-255,1,1.33E-41,,,,,,,
16,4.1626E-108,1.57098E-35,1.59173E-63,1,1.21E-84,,,,,,,
17,2.43206E-48,1.96834E-29,2.5702E-145,1,1.68E-11,,,,,,,
18,4.90996E-25,4.79481E-23,4.40392E-09,0.999999996,1.01E-24,,,,,,,
19,0.237207039,0.006828605,0.198862343,0.472944404,0.084157609,,,,,,,
20,8.05131E-10,2.44619E-13,8.45437E-14,0.999999999,2.64E-13,,,,,,,
21,1.79702E-07,0.1635699,0.00075731,0.83567261,2.39E-33,,,,,,,
22,0,8.5746E-262,0,1,3.86E-232,,,,,,,
