"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2146.53691513376,4363.07383026753,4.66486555784601,4.68634603265789,0.776989800665495,0.722771410659415,0.674288159473639,0.207379025109852,0.364258284007121,0.391470190840773,0.13091758907182,0.144837022191355,0.00168859187368178,0.345094770454947,0.0954230498951959,0.380043566568057,0.465011740426953,0.020631621950152,0.0777317727402863,0.652012507181429,0.503558625350647,0.697083174352175,0.108745409506593,0.914638465752119,1.4288039021677,1.41266411636025,1.98291903454248,0.0432091748978572,0.0384077969938517,4.35805639197155,0.87980254559611,2.93221046731838,1.98806002114173,5.27801753625193,4.54800067129698,1.20076273427874,1.82423202346882
"result.2",2,1378.96668104251,2827.93336208502,19.9961088595007,14.959173177826,0.204353395098147,0.201890510843611,0.200493695428919,0.336044599499924,0.144577525556087,0.388407542649657,0.226008459124056,0.103904661573539,0.16121942691231,0.452255605775744,0.289178250384185,0.288888262526222,0.0476808902804858,0.329517391596386,0.19371957241907,0.690484691876918,0.580940063514783,0.615586786934188,0.0103331155564571,0.267412562535088,0.194637177368913,1.16075279608879,0.895309892874925,0.66230901009161,0.444477955034006,0.050330824474389,3.52424856024174,4.27917311185822,2.40541005553678,4.70276079020404,2.41001747416658,0.949542088899761,4.85699590248987
"result.3",3,1971.71098617699,4013.42197235399,10.6049050592246,11.3436193985628,0.416255898964365,0.510996256080485,0.562841579650872,0.213857052725288,0.364513742151302,0.383453778408665,0.000623360308474269,0.0939552437790323,0.107685885205865,0.296984212280906,0.017864784883496,0.569724186165575,0.0375874152149541,0.173925418313593,0.0975834287935868,0.50071411630831,0.500079778736933,0.51096212077381,0.0016478449041374,1.92351387584358,0.0400208190127611,1.88218060414838,0.0858328354928321,1.92840141706786,0.4881303431846,2.17926601599902,4.92665371707047,3.23499567193178,1.35314650530776,2.83134730699121,1.4162914075615,4.25409132557586,4.72053187759593
"result.4",4,936.559449976583,1943.11889995317,19.9856208373998,14.8971247464203,0.202041805880251,0.202023310410125,0.200081458023216,0.0159430529066592,0.231908877563253,0.355369770316102,0.0195233727922355,0.116781606350593,0.0342118400652355,0.0759963625535733,0.698140328204413,0.585925005866683,0.0261947189021227,0.0646366518718848,0.0411023024469614,0.692901334455476,0.66241742865292,0.69960879141264,1.9370626450204,0.396787281148136,1.81537298973888,1.81897473009303,1.51051162186822,0.00114454768106034,0.373082751408219,0.0896755442506806,0.331695123445517,1.27113390319809,5.99923254542883,5.68920306855365,3.932723421755,1.96913496283519,2.3491124982118
"result.5",5,1531.73229684204,3133.46459368408,19.9304796916524,14.7845825731822,0.297743122721318,0.400923735320594,0.277729390413947,0.380873722626428,0.290417237927051,0.307657190079447,0.3253157374804,0.0333428521908236,0.0837308430477459,0.423446629049508,0.600726967982065,0.0947835025889798,0.0126570878990773,0.00893379240629953,0.645885236212052,0.562556506626924,0.636929674259614,0.507688178871894,1.99621683198058,0.0708045933044294,1.8236112228417,0.358003184525617,0.615857020297325,1.65884837122904,4.27408594988869,5.02934383196779,0.0527302441187203,4.16060315725,5.49563864905658,5.94043741594646,3.68485997303257,2.92222327522154,5.19775164722115
"result.6",6,983.855169272946,2037.71033854589,12.1684931928835,14.9032807193022,0.200453409984428,0.202441509598128,0.201130167827568,0.0123214908695357,0.160745357822405,0.121301063042465,0.0697955346666277,0.017228336009223,0.217796002244776,0.447840260687165,0.671403558954681,0.676972336671315,0.468912910797721,0.159894377491699,0.0984577171414218,0.68998236481663,0.529749485118543,0.695160998862851,1.99093716397081,0.863025253343276,0.00580495626397462,1.5041453311355,1.13520850846544,0.877895253358022,5.94213060635603,0.57415820977106,1.66106042780859,5.8198163560226,5.95642134874406,5.90729935382948,5.92796911031586,1.38862500868916,5.81109321193698
"result.7",7,1918.06142174667,3906.12284349334,8.11987369565482,4.56911981204971,0.487225903987646,0.203080803180849,0.399773746098685,0.365584717131745,0.281595934014557,0.386332373888312,0.251074635710703,0.170352604326542,0.0960605262928965,0.399206540216493,0.268050339375244,0.14264713910856,0.0520578199599427,0.0404030136192978,0.692231372829321,0.537916564523199,0.594734785715781,0.512124553189614,1.92814933022471,0.0314594869001941,0.0660635411657138,1.1231780028902,0.0620513499312875,1.00583823027925,2.16141974395667,2.36984261523932,5.6754920321647,3.95461260108277,3.23997210522474,5.22502222674687,1.31408185347774,0.898758456077315,4.31225265304946
"result.8",8,2016.01913087626,4102.03826175252,10.9569249566244,6.58439928229927,0.627970455424376,0.62595004616167,0.622071568398696,0.336236381754279,0.267110508613259,0.396037838789634,0.0795102835585215,0.149605739041432,0.416559172735429,0.229400524826764,0.321963646789497,0.365658109045049,0.0254341238809517,0.103656242811121,0.0646994435790142,0.501889200466341,0.529891606609255,0.539392692035797,0.0566718867943334,1.97528169665663,0.0122374630208132,0.0779970046362274,1.99384518887639,0.863455821759999,1.18810204399755,2.36780229432458,2.4756490970733,3.48777093099858,1.82057602240289,3.4447077316731,2.50338957053517,1.43021035892889,1.45198913731219
"result.9",9,1918.37777578116,3906.75555156233,9.50713426363042,14.6131785639309,0.766257538048829,0.78708079144712,0.757010155698577,0.211659265437916,0.210905728100446,0.234795985924213,0.596092169126496,0.359456899534083,0.589575097951678,0.0373560888925567,0.265902065649929,0.16360454388475,0.0238962075259701,0.108576964456298,0.0529487053676035,0.657302705347852,0.50568493087776,0.672434253053432,1.68204626607986,0.178329020347338,0.0150887379832852,1.76939487790839,1.92563493963885,0.214585777035291,5.93211398117767,2.52812413783277,5.98944801019061,0.196416410695821,2.01122577895083,5.99226083653048,2.85435489752746,0.028565958367826,2.36790479134654
"result.10",10,1847.14392345126,3764.28784690252,14.2500863631287,14.899215281125,0.592318594624228,0.690283845794576,0.515517148715993,0.383196785377099,0.245528289369785,0.125838420817821,0.0537989793810993,0.0176971606286786,0.0633644667967611,0.225368916521232,0.0668594307122053,0.0128916464827164,0.00755214648017818,0.16562433742747,0.494704788760282,0.50048079174012,0.532449054383203,0.660164151141888,0.0112938631152232,1.97982735217019,0.204665671105254,1.82035508281487,0.343676281572695,1.54787975249211,2.12336593454505,3.70755607355386,0.592611505084236,5.45573476359279,0.287970218211975,0.498449416321785,1.32914314744994,3.39452303807446,0.497551338638019
