,Spatiotemporal,Orthosem,Spatiotemporal.Orthosem,Mix_Cond,gamma,gamma_beta,,,Spatiotemporal,Orthosem,Spatiotemporal.Orthosem,Mix_Cond,gamma,gamma_beta
1,3122.61,3104.66,3114.57,3121.34,3123.77,3127.79,,1,0.0,1.0,0.0,0.0,0.0,0.0
2,2466.81,2445.07,2449.78,2453.96,2453.44,2458.58,,2,0.0,0.9,0.1,0.0,0.0,0.0
3,2824.76,2798.75,2799.6,2804.82,2808.27,2811.44,,3,0.0,0.6,0.4,0.0,0.0,0.0
4,1465.94,1395.5,1405.67,1419.5,1418.58,1422.68,,4,0.0,1.0,0.0,0.0,0.0,0.0
5,2796.99,2779.06,2776.98,2777.46,2780.09,2777.84,,5,0.0,0.1,0.3,0.3,0.1,0.2
6,1039.8,994.1,998.65,1011.93,1004.84,1008.85,,6,0.0,0.9,0.1,0.0,0.0,0.0
7,2541.26,2527.91,2533.51,2535.52,2537.99,2538.1,,7,0.0,0.9,0.1,0.0,0.0,0.0
8,1633.54,1630.97,1635.04,1638.01,1641.56,1644.01,,8,0.2,0.7,0.1,0.0,0.0,0.0
9,2799.48,2793.24,2804.78,2808.81,2811.51,2814.86,,9,0.0,1.0,0.0,0.0,0.0,0.0
10,2149.14,2145.88,2152.34,2152.91,2155.33,2157.7,,10,0.2,0.8,0.0,0.0,0.0,0.0
GROUP,22840.3,22615.1,22670.9,22724.3,22735.4,22761.8,,GROUP,0.0,1.0,0.0,0.0,0.0,0.0
