word, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
HOWS, STIM, 6, 1.7488, 1.3489, 0.9001, 0.4488, 1.6161
IRIS, STIM, 6, 0.7629, -1.6215, -0.8814, -0.7401, 0.5831
KRIS, FOIL, 2, 0.8034, NA, NA, NA, NA
AHEM, STIM, 1, 1.2074, -2.5244, -2.6666, 0.1422, 0.5165
JINX, FOIL, 1, 0.8083, NA, NA, NA, NA
BAHT, STIM, 6, 0.7288, -2.8782, -2.4950, -0.3832, 0.5665
WHIZ, STIM, 6, 0.6588, 2.0239, 2.0090, 0.0149, 0.5665
JOVE, FOIL, 1, 0.7337, NA, NA, NA, NA
JADE, STIM, 6, 0.6643, 0.0782, 0.2762, -0.1980, 0.4165
GOTH, FOIL, 1, 0.5392, NA, NA, NA, NA
MAGS, FOIL, 2, 0.7931, NA, NA, NA, NA
EACH, STIM, 1, 0.6040, -1.4904, 2.5665, 2.2263, 2.1660
PLUG, STIM, 6, 0.7336, -2.4934, 2.2153, 1.5744, 0.5665
NEST, FOIL, 1, 0.5010, NA, NA, NA, NA
TIKI, STIM, 6, 0.6146, -2.4709, -2.0754, -0.3954, 0.5332
GUMS, FOIL, 6, 1.1715, NA, NA, NA, NA
STAT, FOIL, 1, 0.6264, NA, NA, NA, NA
CARE, FOIL, 1, 0.6796, NA, NA, NA, NA
USES, STIM, 2, 0.8318, -1.6692, -0.8368, -0.8324, 0.5665
SANS, FOIL, 1, 0.6845, NA, NA, NA, NA
LUCY, STIM, 1, 1.1978, 2.7596, -2.1327, -1.3908, 0.6331
PRAT, STIM, 2, 4.8823, -3.0696, -2.6713, -0.3984, 0.5832
LORE, FOIL, 1, 0.9284, NA, NA, NA, NA
CRAM, FOIL, 6, 0.7557, NA, NA, NA, NA
LAYS, STIM, 4, 1.1491, -2.3053, 2.4792, 1.4986, 0.4165
BURP, STIM, 1, 0.9928, 3.1102, 2.3894, 0.7208, 0.5332
HILL, STIM, 6, 0.6757, 1.1746, -2.5086, -2.6000, 0.6998
SWAY, FOIL, 1, 0.6523, NA, NA, NA, NA
LEWD, FOIL, 1, 0.8161, NA, NA, NA, NA
NADA, FOIL, 1, 0.8501, NA, NA, NA, NA
GREW, STIM, 2, 1.0893, -1.3236, -0.8730, -0.4506, 0.2832
ADDS, STIM, 1, 0.6215, 0.4186, 2.3266, -1.9080, 1.4162
JUGS, STIM, 6, 0.6643, 1.5037, 0.4660, 1.0378, 0.4665
MACH, FOIL, 1, 0.5998, NA, NA, NA, NA
WOKE, STIM, 1, 0.5709, -1.8630, 0.8701, -2.7331, 0.5165
REBS, STIM, 1, 0.6370, 0.8247, 0.8583, -0.0336, 0.5665
PONG, FOIL, 1, 0.6352, NA, NA, NA, NA
DOWD, FOIL, 1, 0.5542, NA, NA, NA, NA
PISH, FOIL, 1, 0.5990, NA, NA, NA, NA
JEFE, FOIL, 1, 1.8059, NA, NA, NA, NA
MOOD, FOIL, 2, 1.6731, NA, NA, NA, NA
TORY, FOIL, 1, 0.7782, NA, NA, NA, NA
RUNS, STIM, 6, 1.2844, -2.6471, -2.7504, 0.1033, 1.3996
HULK, FOIL, 1, 0.7600, NA, NA, NA, NA
HOOT, FOIL, 2, 0.9897, NA, NA, NA, NA
OARS, FOIL, 1, 0.6671, NA, NA, NA, NA
DUAL, STIM, 6, 0.6254, -1.1663, -1.2243, 0.0580, 0.8331
TILT, STIM, 6, 0.6837, -1.8541, -1.9716, 0.1175, 0.9330
POOP, STIM, 6, 0.6103, 1.8358, 2.0298, -0.1940, 0.9330
HELP, FOIL, 1, 0.5605, NA, NA, NA, NA
WIFE, FOIL, 2, 0.7073, NA, NA, NA, NA
RUSH, FOIL, 5, 0.8571, NA, NA, NA, NA
PEST, STIM, 6, 0.7020, 1.7261, 1.8727, -0.1466, 1.1163
GOLF, STIM, 6, 0.5638, -1.9087, -1.8892, -0.0194, 1.0163
KERN, STIM, 6, 0.7459, -0.7508, 0.6548, -1.4055, 2.3492
HART, FOIL, 1, 0.6836, NA, NA, NA, NA
HONG, FOIL, 1, 0.6632, NA, NA, NA, NA
HEWN, STIM, 6, 0.7549, -3.0912, -3.1313, 0.0401, 0.7164
BITE, STIM, 6, 0.5554, 2.9943, 3.0012, -0.0068, 0.7498
YEAR, STIM, 6, 1.1396, -0.2294, -0.1609, -0.0685, 0.8164
YARD, FOIL, 1, 1.1172, NA, NA, NA, NA
LAIT, STIM, 5, 1.4678, -2.8468, -0.5592, -2.2877, 0.4665
TOGA, STIM, 6, 0.6560, 1.1890, 1.1515, 0.0375, 0.4165
BRAN, STIM, 2, 1.6461, 0.1468, 0.9378, -0.7910, 0.8664
CACA, STIM, 6, 0.9337, -1.3895, -2.1958, 0.8063, 1.0830
BEER, STIM, 6, 2.2019, -0.9455, -0.9967, 0.0513, 0.5332
AFAR, FOIL, 1, 1.1160, NA, NA, NA, NA
ZIPS, STIM, 6, 2.0018, -0.8955, 2.1172, -3.0127, 0.4832
MOCK, FOIL, 6, 3.0636, NA, NA, NA, NA
NITE, FOIL, 1, 0.8358, NA, NA, NA, NA
TOBE, FOIL, 1, 1.0740, NA, NA, NA, NA
GRIN, FOIL, 1, 1.2116, NA, NA, NA, NA
TILL, FOIL, 1, 0.7299, NA, NA, NA, NA
RASH, STIM, 1, 0.5686, 2.9167, -2.6289, -0.7375, 1.2496
BIBS, STIM, 6, 0.6359, 1.4573, 2.1777, -0.7204, 0.4832
BACH, FOIL, 2, 1.2335, NA, NA, NA, NA
PINS, STIM, 2, 0.8015, -2.1870, 1.9996, 2.0966, 0.5832
HALE, FOIL, 1, 0.8445, NA, NA, NA, NA
TOUT, STIM, 3, 1.0017, 1.9689, -2.9934, -1.3208, 0.2832
BUNK, FOIL, 1, 0.7710, NA, NA, NA, NA
DONA, FOIL, 1, 1.4451, NA, NA, NA, NA
TINY, FOIL, 1, 0.5910, NA, NA, NA, NA
HILI, FOIL, 1, 0.6310, NA, NA, NA, NA
JULY, STIM, 6, 1.3118, -2.2790, -2.2867, 0.0077, 0.7164
PAVE, STIM, 6, 0.7153, -1.0540, -0.6352, -0.4188, 0.9830
PUTT, STIM, 6, 0.5155, 2.2532, 2.2562, -0.0030, 0.8664
TOLD, FOIL, 1, 2.5600, NA, NA, NA, NA
PRAY, STIM, 6, 5.3795, -1.2362, -0.9770, -0.2591, 0.6998
FEET, STIM, 6, 2.4211, -1.0192, -0.4939, -0.5252, 0.7664
SELF, STIM, 6, 1.2060, 0.8598, 0.8330, 0.0268, 0.9664
THAN, FOIL, 1, 0.6472, NA, NA, NA, NA
SPAS, FOIL, 1, 0.7132, NA, NA, NA, NA
FANG, STIM, 6, 0.8573, 2.6186, 2.5304, 0.0882, 0.7331
TOGO, FOIL, 2, 1.3759, NA, NA, NA, NA
FOOL, STIM, 6, 0.6841, -0.2943, -0.5794, 0.2851, 2.5325
VIVA, FOIL, 1, 0.7081, NA, NA, NA, NA
AIRS, FOIL, 1, 0.6128, NA, NA, NA, NA
FUSS, STIM, 6, 0.6657, 2.3066, 2.3745, -0.0680, 0.7664
BATS, FOIL, 1, 0.6640, NA, NA, NA, NA
EMMY, STIM, 6, 0.6781, 2.4554, 2.1916, 0.2637, 0.8497
